CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca , 20240925042113.383984+120 , C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe,772 , 7100 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20240925042118.866501+120 , C:\Windows\system32\DllHost.exe,772 , 6064 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
None , 20240925042128.915582+120 , None,632 , 2684 , (None, 2, None) , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20240925042130.311676+120 , C:\Windows\System32\RuntimeBroker.exe,772 , 5712 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca , 20240925042130.383470+120 , C:\Windows\system32\backgroundTaskHost.exe,772 , 7500 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
"C:\Windows\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20240925042133.846043+120 , C:\Windows\system32\BackgroundTaskHost.exe,772 , 2596 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20240925042134.725847+120 , None,772 , 868 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
"BackgroundTransferHost.exe" -ServerName:BackgroundTransferHost.1 , 20240925042135.736147+120 , C:\Windows\system32\BackgroundTransferHost.exe,772 , 8132 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20240925042136.142683+120 , C:\Windows\System32\RuntimeBroker.exe,772 , 8152 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
None , 20240925042152.495280+120 , None,380 , 4892 , (None, 2, None) , N/A
None , 20240925042155.152599+120 , None,632 , 2680 , (None, 2, None) , N/A
